Requirement ID,Smell Type,Smell Sub-type,Completeness,Completeness-Reasons,Correctness,Correctness-Reasons
1,,,0,1.4.1,1,
2,,,0,1.6,0,2.7
3,,,1,,1,
4,,,0,"1.3, 1.6",1,
5,,,0,"1.3, 1.5",0,2.3.2
6,semantic,ambiguities,1,,1,
7,lexical,weak_verbs,0,1.6.1,1,
8,semantic,numerical_discrepancies,1,,0,2.6.1
9,,,0,"1.3, 1.5, 1.6",1,
10,semantic,ambiguities,0,1.6,1,
11,syntactic,negative,0,"1.3, 1.6",0,2.3.2
12,lexical,subjective_language,0,"1.3, 1.5, 1.6",0,2.7
13,lexical,subjective_language,0,1.6.1,1,
14,semantic,logical_inconsistencies,0,1.6,1,
15,syntactic,passive_voice,0,1.6,1,
16,syntactic,passive_voice,1,,1,
17,semantic,logical_inconsistencies,1,,0,2.3.2
18,lexical,optional_parts,1,,1,
19,semantic,ambiguities,0,"1.3, 1.3.1, 1.5",1,
Total,,,6,,13,
